fluid reward multiplier,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
0 run #,1 left reward,2 right reward,3 stim left image,4 stim left sound,5 stim right image,6 stim right sound,7 itd (sec),8 decision (sec),9 stim  (sec),10 points (sec),5-Nov,4-Dec,13 -2,14 -1,15 0,16 1,17 2,18 3,19 4,20 startPoint,21 Left is aversive
28,0,0,images/PI/2020_Adult.gif,sounds/Freesound/Manlaughing_hard.mp3,images/NI/3060_Mutilation.gif,sounds/Freesound/allinpain.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,-4,0
29,6,0,images/NI/3130_Mutilation.gif,sounds/Freesound/mandying.mp3,images/PI/8130_PoleVaulter.gif,sounds/IADSPA/352_SportsCrowd.mp3,1,4,6,2,L,L,R,R,R,L,L,R,R,0,1
30,2,0,images/PI/2580_Chess.gif,sounds/Freesound/mansighs.mp3,images/PI/2580_Chess.gif,sounds/Freesound/mansighs.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,-1,3
31,0,4,images/PI/4603_Romance.gif,sounds/IADSPA/230_Giggling.mp3,images/NI/6560_Attack.gif,sounds/IADSNA/279_Attack1.mp3,1,4,6,2,L,L,L,R,L,L,R,R,R,1,0
32,0,6,images/PI/2501_Couple.gif,sounds/Freesound/Gullsbythesea.mp3,images/NI/9421_Soldier.gif,sounds/AudioMicro/ManCrying.mp3,1,4,6,2,R,L,L,L,L,R,R,R,L,2,0
33,0,0,images/NI/3080_Mutilation.gif,sounds/IADSNA/287_CardiacArrest.mp3,images/PI/2485_Man.gif,sounds/IADSPA/811_Bach.mp3,1,4,6,2,L,R,R,L,R,R,L,L,R,1,1
34,0,2,images/PI/8280_Diver.gif,sounds/PartnersinRhyme/Cheer.mp3,images/NI/3102_BurnVictim.gif,sounds/Freesound/Anguish.mp3,1,4,6,2,L,L,L,R,R,L,R,R,R,0,0
35,0,0,images/PI/2208_Bride.gif,sounds/IADSPA/820_FunkMusic.mp3,images/NI/9921_Fire.gif,sounds/Freesound/Hellfire.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,0,0
36,2,0,images/PI/8465_Runner.gif,sounds/Freesound/heavybreathing.mp3,images/PI/8465_Runner.gif,sounds/Freesound/heavybreathing.mp3,1,4,6,2,L,L,R,L,R,R,L,R,R,1,3
37,6,0,images/NI/2800_SadChild.gif,sounds/Freesound/three_chords.mp3,images/PI/2240_NeutChild.gif,sounds/IADSPA/225_ClapGame.mp3,1,4,6,2,L,R,L,R,R,L,R,L,R,-2,1
38,0,0,images/NI/6350_Attack.gif,sounds/IADSNA/285_Attack2.mp3,images/PI/4700_Couple.gif,sounds/Freesound/mansighs.mp3,1,4,6,2,R,L,L,L,L,R,R,R,L,4,1
39,0,2,images/PI/8050_Rower.gif,sounds/Freesound/rower.mp3,images/NI/9265_HungMan.gif,sounds/Freesound/mandying.mp3,1,4,6,2,L,L,R,R,R,L,L,R,R,4,0
40,0,4,images/PI/7503_carddealer.gif,sounds/IADSPA/361_Restaurant.mp3,images/NI/3150_Mutilation.gif,sounds/Freesound/panic&pain.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,3,0
41,2,0,images/NI/9252_DeadBody.gif,sounds/IADSNA/292_MaleScream.mp3,images/PI/7496_Street.gif,sounds/Freesound/Tibetstreet.mp3,1,4,6,2,L,R,L,L,R,R,R,L,R,3,1
