Time,Event,Image,Sound
978021,response_R,0,
978229,response_R,1,
978357,response_R,2,
978629,response_Lock,2,
980826,program_stimulus_image,images/PI/4603_Romance.gif,
980877,program_stimulus_sound,,sounds/IADSPA/230_Giggling.mp3
986877,program_points_screen,,
986925,program_stimulus_sound,,sounds/reward/smallReward.mp3
988927,program_fixation_screen,,
989927,trial,76,
989927,program_decision_screen,,
990661,response_R,0,
990917,response_R,1,
991092,response_R,2,
991333,response_R,3,
991861,response_Lock,3,
993966,program_stimulus_image,images/PI/4598_Couple.gif,
993997,program_stimulus_sound,,sounds/Freesound/manlaugh.mp3
999998,program_points_screen,,
1000046,program_stimulus_sound,,sounds/reward/smallReward.mp3
1002047,program_fixation_screen,,
1003048,trial,77,
1003048,program_decision_screen,,
1004293,response_L,1,
1004533,response_L,0,
1004709,response_L,-1,
1004949,response_L,-2,
1005140,response_L,-3,
1005253,response_L,-4,
1005701,response_Lock,-4,
1007111,program_stimulus_image,images/NI/3080_Mutilation.gif,
1007156,program_stimulus_sound,,sounds/IADSNA/287_CardiacArrest.mp3
1013158,program_points_screen,,
1013203,program_stimulus_sound,,sounds/reward/bigReward.mp3
1015205,program_fixation_screen,,
1016206,trial,78,
1016206,program_decision_screen,,
1016741,response_L,-4,
1017556,response_Lock,-4,
1020262,program_stimulus_image,images/NI/3102_BurnVictim.gif,
1020377,program_stimulus_sound,,sounds/Freesound/Anguish.mp3
1026378,program_points_screen,,
1026409,program_stimulus_sound,,sounds/reward/bigReward.mp3
1028412,program_fixation_screen,,
1029412,trial,79,
1029412,program_decision_screen,,
1030052,response_L,-4,
1030581,response_Lock,-4,
1033530,program_stimulus_image,images/PI/5455_Cockpit.gif,
1033577,program_stimulus_sound,,sounds/Freesound/atc6.mp3
1039578,program_points_screen,,
1039624,program_stimulus_sound,,sounds/reward/bigReward.mp3
1041625,program_fixation_screen,,
1042625,trial,80,
1042625,program_decision_screen,,
1043684,response_L,3,
1043957,response_L,2,
1044196,response_L,1,
1044405,response_L,0,
1044629,response_L,-1,
1044789,response_L,-2,
1045268,response_Lock,-2,
1046680,program_stimulus_image,images/NI/9921_Fire.gif,
1046725,program_stimulus_sound,,sounds/Freesound/Hellfire.mp3
1052727,program_points_screen,,
1052772,program_stimulus_sound,,sounds/reward/smallReward.mp3
1054773,program_fixation_screen,,
1055773,trial,81,
1055773,program_decision_screen,,
1056484,response_Lock,1,
1059826,program_stimulus_image,images/NI/2800_SadChild.gif,
1059872,program_stimulus_sound,,sounds/Freesound/three_chords.mp3
1065873,program_points_screen,,
1065923,program_stimulus_sound,,sounds/reward/bigReward.mp3
1067924,program_fixation_screen,,
1068924,trial,82,
1068924,program_decision_screen,,
1069829,response_R,-2,
1070068,response_R,-1,
1070293,response_R,0,
1070532,response_R,1,
1070740,response_R,2,
1070932,response_R,3,
1071173,response_R,4,
1071556,response_Lock,4,
1072977,program_stimulus_image,images/NI/6350_Attack.gif,
1073025,program_stimulus_sound,,sounds/IADSNA/285_Attack2.mp3
1079031,program_points_screen,,
1079080,program_stimulus_sound,,sounds/reward/bigReward.mp3
1081081,program_fixation_screen,,
1082081,trial,83,
1082081,program_decision_screen,,
1083381,response_Lock,-3,
1086151,program_stimulus_image,images/NI/9265_HungMan.gif,
1086211,program_stimulus_sound,,sounds/Freesound/mandying.mp3
1092214,program_points_screen,,
1092258,program_stimulus_sound,,sounds/reward/smallReward.mp3
1094261,program_fixation_screen,,
1095261,trial,84,
1095261,program_decision_screen,,
1096948,response_R,0,
1097220,response_R,1,
1097444,response_R,2,
1097669,response_R,3,
1097876,response_R,4,
1098341,response_Lock,4,
1099336,program_stimulus_image,images/PI/5201_Nature.gif,
1099396,program_stimulus_sound,,sounds/IADSPA/152_Tropical.mp3
1105397,program_points_screen,,
1105545,program_stimulus_sound,,sounds/reward/bigReward.mp3
1107548,program_fixation_screen,,
1108549,trial,85,
1108549,program_decision_screen,,
1109652,response_L,2,
1109876,response_L,1,
1110068,response_L,0,
1110276,response_L,-1,
1110500,response_L,-2,
1110644,response_L,-3,
1110804,response_L,-4,
1111188,response_Lock,-4,
1112601,program_stimulus_image,images/NI/3150_Mutilation.gif,
1112647,program_stimulus_sound,,sounds/Freesound/panic&pain.mp3
1118648,program_points_screen,,
1118697,program_stimulus_sound,,sounds/reward/bigReward.mp3
1120699,program_fixation_screen,,
1121699,trial,86,
1121699,program_decision_screen,,
1122884,response_Lock,-1,
1125765,program_stimulus_image,images/NI/9252_DeadBody.gif,
1125811,program_stimulus_sound,,sounds/IADSNA/292_MaleScream.mp3
1131812,program_points_screen,,
1131860,program_stimulus_sound,,sounds/reward/smallReward.mp3
1133861,program_fixation_screen,,
1134863,trial,87,
1134863,program_decision_screen,,
1136244,response_Lock,-4,
1138924,program_stimulus_image,images/PI/2372_Woman.gif,
1138971,program_stimulus_sound,,sounds/Freesound/chalkwriting.mp3
1144972,program_points_screen,,
1145017,program_stimulus_sound,,sounds/reward/bigReward.mp3
1147019,program_fixation_screen,,
1148019,trial,88,
1148019,program_decision_screen,,
1148948,response_R,-2,
1149172,response_R,-1,
1149380,response_R,0,
1149555,response_R,1,
1149748,response_R,2,
1149940,response_R,3,
1150148,response_R,4,
1150467,response_Lock,4,
1152077,program_stimulus_image,images/NI/3110_BurnVictim.gif,
1152122,program_stimulus_sound,,sounds/IADSNA/277_FemScream3.mp3
1158124,program_points_screen,,
1158168,program_stimulus_sound,,sounds/reward/bigReward.mp3
1160170,program_fixation_screen,,
1161171,trial,89,
1161171,program_decision_screen,,
1162307,response_L,3,
1162548,response_L,2,
1162756,response_L,1,
1162964,response_L,0,
1163139,response_L,-1,
1163347,response_L,-2,
1163572,response_L,-3,
1163748,response_L,-4,
1164196,response_Lock,-4,
1165227,program_stimulus_image,images/PI/1340_Women.gif,
1165275,program_stimulus_sound,,sounds/IADSPA/226_Laughing.mp3
1171277,program_points_screen,,
1171327,program_stimulus_sound,,sounds/reward/smallReward.mp3
1173328,program_fixation_screen,,
1174328,trial,90,
1174328,program_decision_screen,,
1175347,response_L,-3,
1175524,response_L,-4,
1175940,response_Lock,-4,
1178381,program_stimulus_image,images/NI/3062_Mutilation.gif,
1178429,program_stimulus_sound,,sounds/Freesound/Anguish.mp3
1184430,program_points_screen,,
1184486,program_stimulus_sound,,sounds/reward/bigReward.mp3
1186488,program_end_screen,,
1186488,program_fixation_screen,,
1188541,program_stimulus_sound,,sounds/reward/lastScreen.wav
1188541,program_awards_screen,,
