Time,Event,Image,Sound
214009,response_R,1,
214186,response_R,2,
214969,response_Lock,2,
216371,program_stimulus_image,images/NI/9410_Soldier.gif,
216448,program_stimulus_sound,,sounds/Freesound/panic&pain.mp3
222450,program_points_screen,,
222499,program_stimulus_sound,,sounds/reward/bigReward.mp3
224500,program_fixation_screen,,
225500,trial,18,
225500,program_decision_screen,,
226314,response_R,0,
226522,response_R,1,
226714,response_R,2,
226874,response_R,3,
227066,response_R,4,
227466,response_Lock,4,
229571,program_stimulus_image,images/NI/9911_CarAccident.gif,
229673,program_stimulus_sound,,sounds/IADSNA/424_CarWreck.mp3
235674,program_points_screen,,
235719,program_stimulus_sound,,sounds/reward/bigReward.mp3
237720,program_fixation_screen,,
238720,trial,19,
238720,program_decision_screen,,
239962,response_Lock,-3,
242781,program_stimulus_image,images/NI/9420_Soldier.gif,
242830,program_stimulus_sound,,sounds/IADSNA/706_War.mp3
248833,program_points_screen,,
248880,program_stimulus_sound,,sounds/reward/bigReward.mp3
250881,program_fixation_screen,,
251881,trial,20,
251881,program_decision_screen,,
253929,response_R,0,
254122,response_R,1,
254298,response_R,2,
254441,response_R,3,
254698,response_Lock,3,
255935,program_stimulus_image,images/PI/8461_HappyTeens.gif,
256007,program_stimulus_sound,,sounds/IADSPA/226_Laughing.mp3
262008,program_points_screen,,
262054,program_stimulus_sound,,sounds/reward/smallReward.mp3
264056,program_fixation_screen,,
265057,trial,21,
265057,program_decision_screen,,
265929,response_R,-2,
266122,response_R,-1,
266298,response_R,0,
266506,response_R,1,
266666,response_R,2,
267065,response_R,3,
267225,response_R,4,
267689,response_Lock,4,
269130,program_stimulus_image,images/PI/1540_Cat.gif,
269202,program_stimulus_sound,,sounds/Freesound/catpurring.mp3
275202,program_points_screen,,
275253,program_stimulus_sound,,sounds/reward/bigReward.mp3
277256,program_fixation_screen,,
278256,trial,22,
278256,program_decision_screen,,
278937,response_R,-1,
279145,response_R,0,
279321,response_R,1,
279498,response_R,2,
279657,response_R,3,
279817,response_R,4,
280250,response_Lock,4,
282350,program_stimulus_image,images/NI/9520_Kids.gif,
282397,program_stimulus_sound,,sounds/IADSNA/712_Buzzer.mp3
288400,program_points_screen,,
288446,program_stimulus_sound,,sounds/reward/bigReward.mp3
290449,program_fixation_screen,,
291450,trial,23,
291450,program_decision_screen,,
292538,response_L,0,
292714,response_L,-1,
292905,response_L,-2,
293049,response_L,-3,
293385,response_Lock,-3,
295796,program_stimulus_image,images/NI/3530_Attack.gif,
295846,program_stimulus_sound,,sounds/IADSNA/286_Victim.mp3
301849,program_points_screen,,
301893,program_stimulus_sound,,sounds/reward/bigReward.mp3
303894,program_fixation_screen,,
304895,trial,24,
304895,program_decision_screen,,
305945,response_R,2,
306170,response_R,3,
306345,response_R,4,
306794,response_Lock,4,
308947,program_stimulus_image,images/PI/2510_ElderlyWoman.gif,
308995,program_stimulus_sound,,sounds/Freesound/foxtrot.mp3
314998,program_points_screen,,
315045,program_stimulus_sound,,sounds/reward/bigReward.mp3
317047,program_fixation_screen,,
318048,trial,25,
318048,program_decision_screen,,
319065,response_L,3,
319241,response_L,2,
319417,response_L,1,
319625,response_L,0,
319801,response_L,-1,
319929,response_L,-2,
320105,response_L,-3,
320233,response_L,-4,
320729,response_Lock,-4,
322096,program_stimulus_image,images/NI/9910_AutoAccident.gif,
322174,program_stimulus_sound,,sounds/IADSNA/424_Carwreck.mp3
328175,program_points_screen,,
328223,program_stimulus_sound,,sounds/reward/bigReward.mp3
330224,program_fixation_screen,,
331224,trial,26,
331224,program_decision_screen,,
332121,response_R,0,
332329,response_R,1,
332553,response_R,2,
332745,response_R,3,
332921,response_R,4,
333529,response_Lock,4,
335299,program_stimulus_image,images/NI/3064_Mutilation.gif,
335345,program_stimulus_sound,,sounds/IADSNA/276_FemScream2.mp3
341346,program_points_screen,,
341394,program_stimulus_sound,,sounds/reward/bigReward.mp3
343396,program_fixation_screen,,
344396,trial,27,
344396,program_decision_screen,,
345513,response_L,-2,
345689,response_L,-3,
345993,response_L,-4,
346377,response_Lock,-4,
348472,program_stimulus_image,images/NI/3230_DyingMan.gif,
348523,program_stimulus_sound,,sounds/Freesound/EKG.mp3
354524,program_points_screen,,
354557,program_stimulus_sound,,sounds/reward/bigReward.mp3
356560,program_fixation_screen,,
357560,trial,28,
357560,program_decision_screen,,
359513,response_Lock,-4,
361610,program_stimulus_image,images/PI/2020_Adult.gif,
361656,program_stimulus_sound,,sounds/Freesound/Manlaughing_hard.mp3
367658,program_points_screen,,
367703,program_stimulus_sound,,sounds/reward/smallReward.mp3
369703,program_fixation_screen,,
370704,trial,29,
370704,program_decision_screen,,
371657,response_L,-1,
371849,response_L,-2,
372056,response_L,-3,
372201,response_L,-4,
372745,response_Lock,-4,
374783,program_stimulus_image,images/NI/3130_Mutilation.gif,
374829,program_stimulus_sound,,sounds/Freesound/mandying.mp3
380830,program_points_screen,,
380878,program_stimulus_sound,,sounds/reward/bigReward.mp3
382881,program_fixation_screen,,
383881,trial,30,
383881,program_decision_screen,,
385049,response_L,-2,
385241,response_L,-3,
385753,response_L,-4,
386361,response_Lock,-4,
388008,program_stimulus_image,images/PI/2580_Chess.gif,
388053,program_stimulus_sound,,sounds/Freesound/mansighs.mp3
394054,program_points_screen,,
394100,program_stimulus_sound,,sounds/reward/bigReward.mp3
396103,program_fixation_screen,,
397103,trial,31,
397103,program_decision_screen,,
397785,response_R,2,
397961,response_R,3,
398392,response_Lock,3,
401216,program_stimulus_image,images/NI/6560_Attack.gif,
401263,program_stimulus_sound,,sounds/IADSNA/279_Attack1.mp3
407264,program_points_screen,,
407310,program_stimulus_sound,,sounds/reward/bigReward.mp3
409310,program_fixation_screen,,
410310,trial,32,
410310,program_decision_screen,,
411272,response_R,3,
411480,response_R,4,
411928,response_Lock,4,
414365,program_stimulus_image,images/PI/2501_Couple.gif,
414431,program_stimulus_sound,,sounds/Freesound/Gullsbythesea.mp3
420432,program_points_screen,,
420477,program_stimulus_sound,,sounds/reward/smallReward.mp3
422479,program_fixation_screen,,
423480,trial,33,
423480,program_decision_screen,,
424953,response_R,2,
425129,response_R,3,
425337,response_R,4,
425577,response_Lock,4,
427546,program_stimulus_image,images/PI/2485_Man.gif,
427591,program_stimulus_sound,,sounds/IADSPA/811_Bach.mp3
433591,program_points_screen,,
433634,program_stimulus_sound,,sounds/reward/smallReward.mp3
435636,program_fixation_screen,,
436637,trial,34,
436637,program_decision_screen,,
437608,response_R,1,
437800,response_R,2,
437976,response_R,3,
438409,response_Lock,3,
440692,program_stimulus_image,images/NI/3102_BurnVictim.gif,
440746,program_stimulus_sound,,sounds/Freesound/Anguish.mp3
446748,program_points_screen,,
446793,program_stimulus_sound,,sounds/reward/bigReward.mp3
448794,program_fixation_screen,,
449795,trial,35,
449795,program_decision_screen,,
451016,response_L,-1,
451176,response_L,-2,
451688,response_Lock,-2,
453861,program_stimulus_image,images/PI/2208_Bride.gif,
453917,program_stimulus_sound,,sounds/IADSPA/820_FunkMusic.mp3
459920,program_points_screen,,
459965,program_stimulus_sound,,sounds/reward/smallReward.mp3
461965,program_fixation_screen,,
462966,trial,36,
462966,program_decision_screen,,
463848,response_Lock,1,
464056,response_Lock,1,
464184,response_Lock,1,
467024,program_stimulus_image,images/PI/8465_Runner.gif,
467070,program_stimulus_sound,,sounds/Freesound/heavybreathing.mp3
473071,program_points_screen,,
473189,program_stimulus_sound,,sounds/reward/smallReward.mp3
475189,program_fixation_screen,,
476190,trial,37,
476190,program_decision_screen,,
477112,response_L,-3,
477304,response_L,-4,
477961,response_Lock,-4,
480257,program_stimulus_image,images/NI/2800_SadChild.gif,
480302,program_stimulus_sound,,sounds/Freesound/three_chords.mp3
486304,program_points_screen,,
486349,program_stimulus_sound,,sounds/reward/bigReward.mp3
488350,program_fixation_screen,,
489351,trial,38,
489351,program_decision_screen,,
490841,response_Lock,4,
493430,program_stimulus_image,images/NI/6350_Attack.gif,
493477,program_stimulus_sound,,sounds/IADSNA/285_Attack2.mp3
499477,program_points_screen,,
499525,program_stimulus_sound,,sounds/reward/smallReward.mp3
501525,program_fixation_screen,,
502526,trial,39,
502526,program_decision_screen,,
504168,response_Lock,4,
506592,program_stimulus_image,images/NI/9265_HungMan.gif,
506642,program_stimulus_sound,,sounds/Freesound/mandying.mp3
512644,program_points_screen,,
512692,program_stimulus_sound,,sounds/reward/bigReward.mp3
514693,program_fixation_screen,,
515693,trial,40,
515693,program_decision_screen,,
516536,response_R,4,
516936,response_Lock,4,
519758,program_stimulus_image,images/NI/3150_Mutilation.gif,
519793,program_stimulus_sound,,sounds/Freesound/panic&pain.mp3
525794,program_points_screen,,
525843,program_stimulus_sound,,sounds/reward/bigReward.mp3
527843,program_fixation_screen,,
528844,trial,41,
528844,program_decision_screen,,
529832,response_L,2,
530040,response_L,1,
530456,response_Lock,1,
532939,program_stimulus_image,images/PI/7496_Street.gif,
532991,program_stimulus_sound,,sounds/Freesound/Tibetstreet.mp3
538992,program_points_screen,,
539042,program_stimulus_sound,,sounds/reward/smallReward.mp3
541045,program_fixation_screen,,
542046,trial,42,
542046,program_decision_screen,,
543080,response_Lock,-2,
546112,program_stimulus_image,images/PI/8040_Diver.gif,
546168,program_stimulus_sound,,sounds/IADSPA/351_Applause.mp3
552168,program_points_screen,,
552215,program_stimulus_sound,,sounds/reward/smallReward.mp3
554216,program_fixation_screen,,
555217,trial,43,
555217,program_decision_screen,,
556135,response_L,-2,
556280,response_L,-3,
556984,response_Lock,-3,
559283,program_stimulus_image,images/PI/1340_Women.gif,
559371,program_stimulus_sound,,sounds/IADSPA/226_Laughing.mp3
