TrialTypes,Stimuli,Floats (iti_duration left_reward right_reward start_location),ExtraArgs
1 0,media/images/NI/9433_DeadMan.gif media/images/PI/8461_HappyTeens.gif,1 0 0 0,media/sounds/Freesound/Fall_Screaming.aiff media/sounds/IADSPA/226_Laughing.aiff
0 0,media/images/PI/1540_Cat.gif media/images/PI/1540_Cat.gif,10 0 2 -4,media/sounds/Freesound/catpurring.aiff media/sounds/Freesound/catpurring.aiff
0 1,media/images/PI/2216_Children.gif media/images/NI/9520_Kids.gif,8 0 6 -4,media/sounds/IADSPA/112_KidsinPark.aiff media/sounds/IADSNA/712_Buzzer.aiff
0 1,media/images/PI/2370_ThreeMen.gif media/images/NI/3530_Attack.gif,11 0 2 0,media/sounds/IADSPA/221_MaleLaugh.aiff media/sounds/IADSNA/286_Victim.aiff
0 0,media/images/PI/2510_ElderlyWoman.gif media/images/PI/2510_ElderlyWoman.gif,6 0 2 0,media/sounds/Freesound/foxtrot.aiff media/sounds/Freesound/foxtrot.aiff
1 0,media/images/NI/9910_AutoAccident.gif media/images/PI/2389_Teens.gif,7 6 0 0,media/sounds/IADSNA/424_Carwreck.aiff media/sounds/IADSPA/815_RocknRoll.aiff
0 1,media/images/PI/2560_Picnic.gif media/images/NI/3064_Mutilation.gif,3 0 4 -4,media/sounds/IADSPA/230_Giggling.aiff media/sounds/IADSNA/276_FemScream2.aiff
1 0,media/images/NI/3230_DyingMan.gif media/images/PI/2510_ElderlyWoman.gif,9 2 0 0,media/sounds/Freesound/EKG.aiff media/sounds/IADSPA/151_Cardinal.aiff
0 1,media/images/PI/2020_Adult.gif media/images/NI/3060_Mutilation.gif,5 0 0 -4,media/sounds/Freesound/Manlaughing_hard.aiff media/sounds/Freesound/allinpain.aiff
1 0,media/images/NI/3130_Mutilation.gif media/images/PI/8130_PoleVaulter.gif,4 6 0 0,media/sounds/Freesound/mandying.aiff media/sounds/IADSPA/352_SportsCrowd.aiff
0 0,media/images/PI/2580_Chess.gif media/images/PI/2580_Chess.gif,2 2 0 -4,media/sounds/Freesound/mansighs.aiff media/sounds/Freesound/mansighs.aiff
0 1,media/images/PI/4603_Romance.gif media/images/NI/6560_Attack.gif,7 0 4 0,media/sounds/IADSPA/230_Giggling.aiff media/sounds/IADSNA/279_Attack1.aiff
0 1,media/images/PI/2501_Couple.gif media/images/NI/9421_Soldier.gif,1 0 6 4,media/sounds/Freesound/Gullsbythesea.aiff media/sounds/AudioMicro/ManCrying.aiff
1 0,media/images/NI/3080_Mutilation.gif media/images/PI/2485_Man.gif,2 0 0 -4,media/sounds/IADSNA/287_CardiacArrest.aiff media/sounds/IADSPA/811_Bach.aiff
0 1,media/images/PI/8280_Diver.gif media/images/NI/3102_BurnVictim.gif,5 0 2 0,media/sounds/PartnersinRhyme/Cheer.aiff media/sounds/Freesound/Anguish.aiff
0 1,media/images/PI/2208_Bride.gif media/images/NI/9921_Fire.gif,9 0 0 0,media/sounds/IADSPA/820_FunkMusic.aiff media/sounds/Freesound/Hellfire.aiff
0 0,media/images/PI/8465_Runner.gif media/images/PI/8465_Runner.gif,8 2 0 0,media/sounds/Freesound/heavybreathing.aiff media/sounds/Freesound/heavybreathing.aiff
1 0,media/images/NI/2800_SadChild.gif media/images/PI/2240_NeutChild.gif,4 6 0 -4,media/sounds/Freesound/three_chords.aiff media/sounds/IADSPA/225_ClapGame.aiff
