TrialTypes,Stimuli,Durations,ExtraArgs
1 0,media/images/NI/3230_DyingMan.gif media/images/PI/2510_ElderlyWoman.gif,3 2 0 4,media/sounds/Freesound/EKG.aiff media/sounds/IADSPA/151_Cardinal.aiff
0 1,media/images/PI/7140_Bus.gif media/images/NI/9911_CarAccident.gif,11 0 6 4,media/sounds/IADSPA/820_FunkMusic.aiff media/sounds/IADSNA/424_CarWreck.aiff
0 0,media/images/PI/8116_Football.gif media/images/PI/8116_Football.gif,7 0 2 4,media/sounds/IADSPA/362_Football.aiff media/sounds/IADSPA/362_Football.aiff
0 1,media/images/PI/2620_Woman.gif media/images/NI/2141_GrievingFem.gif,8 0 4 4,media/sounds/IADSPA/816_Guitar.aiff media/sounds/AudioMicro/WomanCrying.aiff
1 0,media/images/NI/6821_Gang.gif media/images/PI/8380_Athletes.gif,5 0 0 4,media/sounds/IADSNA/292_MaleScream.aiff media/sounds/IADSPA/351_Applause.aiff
0 1,media/images/PI/2250_NeutBaby.gif media/images/NI/3301_InjuredChild.gif,1 0 2 4,media/sounds/Freesound/GirlLaugh.aiff media/sounds/AudioMicro/WomanCrying.aiff
1 0,media/images/NI/3062_Mutilation.gif media/images/PI/2500_Man.gif,2 4 0 0,media/sounds/Freesound/Anguish.aiff media/sounds/IADSPA/270_Whistling.aiff
0 0,media/images/PI/8400_Rafters.gif media/images/PI/8400_Rafters.gif,4 2 0 4,media/sounds/Freesound/waterfall.aiff media/sounds/Freesound/waterfall.aiff
0 1,media/images/PI/8280_Diver.gif media/images/NI/3102_BurnVictim.gif,9 0 0 4,media/sounds/PartnersinRhyme/Cheer.aiff media/sounds/Freesound/Anguish.aiff
1 0,media/images/NI/3500_Attack.gif media/images/PI/8497_CarnivalRide.gif,10 6 0 4,media/sounds/IADSNA/286_Victim.aiff media/sounds/IADSPA/360_RollerCoaster.aiff
0 0,media/images/PI/2310_Mother.gif media/images/PI/2310_Mother.gif,5 2 0 0,media/sounds/Freesound/eio.aiff media/sounds/Freesound/eio.aiff
1 0,media/images/NI/3181_BatteredFem.gif media/images/PI/2383_Secretary.gif,6 4 0 4,media/sounds/IADSNA/290_Fight.aiff media/sounds/IADSPA/705_RotaryDial.aiff
0 1,media/images/PI/8050_Rower.gif media/images/NI/9265_HungMan.gif,3 0 0 0,media/sounds/Freesound/rower.aiff media/sounds/Freesound/mandying.aiff
